code,name,desc,date
600199,金种子酒,接近前低11.2/11.4,20250113
002422,科伦药业,接近前低27.1,20250113
600276,恒瑞医药,接近前低42.24,20250113
688066,航天宏图,接近前低53.201/53.4006/53.5,20230828
600763,通策医疗,接近前低39.88/39.64,20250113
600602,云赛智联,接近前低12.0259,20250113
002460,赣锋锂业,接近前低32.9288/32.97,20250113
002475,立讯精密,接近前低37.6133,20250113
000100,TCL科技,接近前低4.81,20250114
002563,森马服饰,接近前低6.3008,20250113
000001,平安银行,接近前低11.24,20250114
002415,海康威视,接近前低27.72,20250113
000538,云南白药,接近前低55.5482/55.96,20250114
000860,顺鑫农业,接近前低15.94/16.0,20250113
600529,山东药玻,接近前低23.3592,20250113
603787,新日股份,接近前低9.4551/9.4,20250113
002714,牧原股份,接近前低35.9354,20250113
000725,京东方Ａ,接近前低4.1496/4.15,20250113
000895,双汇发展,接近前低24.8647/24.8647,20250113
600585,海螺水泥,接近前低23.25,20250113
600305,恒顺醋业,接近前低7.2026,20250113
002216,三全食品,接近前低10.77,20250113
600031,三一重工,接近前低15.2039/15.35,20250113
000877,天山股份,接近前低4.9004,20250113
000823,超声电子,接近前低9.1426,20250113
603517,绝味食品,接近前低13.8905,20250113
002351,漫步者,接近前低14.06,20250113
600600,青岛啤酒,接近前低74.3947,20250113
603288,海天味业,接近前低41.82,20250113
000810,创维数字,接近前低11.3346,20250113
603638,艾迪精密,接近前低15.8165/15.6379/15.6777,20250113
600496,精工钢构,接近前低2.7441,20250113
601633,长城汽车,接近前低24.2025,20250113
601015,陕西黑猫,接近前低3.01,20250114
002737,葵花药业,接近前低19.43/19.5,20250114
002641,公元股份,接近前低4.03,20250114
000980,众泰汽车,接近前低2.13,20250114
002959,小熊电器,接近前低41.5/41.6,20250114
002304,洋河股份,接近前低79.11,20250114
002475,立讯精密,接近前低37.6133,20250114
002563,森马服饰,接近前低6.3008,20250114
600300,维维股份,接近前低2.84,20250114
600529,山东药玻,接近前低23.7476/23.7252/24.0/24.0,20250114
002714,牧原股份,接近前低35.9354/36.3369,20250114
000725,京东方Ａ,接近前低4.1496/4.15/4.13,20250114
002572,索菲亚,接近前低14.7591/14.8163,20250114
002271,东方雨虹,接近前低12.18,20250114
000895,双汇发展,接近前低24.8647/24.8647,20250114
600975,新五丰,接近前低5.64,20250114
002216,三全食品,接近前低11.11,20250114
000877,天山股份,接近前低5.0104,20250114
603517,绝味食品,接近前低14.24,20250114
600600,青岛啤酒,接近前低74.3947,20250114
600703,三安光电,接近前低11.12,20250114
000810,创维数字,接近前低11.61,20250114
601015,陕西黑猫,接近前低3.01,20250115
002737,葵花药业,接近前低19.5/19.81,20250115
002959,小熊电器,接近前低41.5/41.6,20250115
002563,森马服饰,接近前低6.3008,20250115
002714,牧原股份,接近前低35.9354/36.3369,20250115
002572,索菲亚,接近前低14.7591/14.8163,20250115
000895,双汇发展,接近前低24.8647/24.8647,20250115
000877,天山股份,接近前低5.0104,20250115
002563,森马服饰,接近前低6.3008,20250116
000895,双汇发展,接近前低24.8647/24.8647,20250116
603288,海天味业,接近前低41.82,20250116
603605,珀莱雅,接近前低82.11,20250117
002422,科伦药业,接近前低27.1,20250117
600276,恒瑞医药,接近前低42.24,20250117
600763,通策医疗,接近前低40.58,20250117
002563,森马服饰,接近前低6.3008,20250117
002572,索菲亚,接近前低14.7591/14.8163,20250117
600031,三一重工,接近前低15.2039/15.45/15.35,20250117
600600,青岛啤酒,接近前低74.3947/73.82,20250117
603288,海天味业,接近前低41.82,20250117
002737,葵花药业,接近前低18.22,20250120
600199,金种子酒,接近前低11.78,20250120
002008,大族激光,接近前低25.23,20250120
600763,通策医疗,接近前低41.7703,20250120
002271,东方雨虹,接近前低12.18,20250120
600660,福耀玻璃,接近前低58.91,20250120
600600,青岛啤酒,接近前低74.3947/73.82,20250120
603288,海天味业,接近前低41.82,20250120
000810,创维数字,接近前低12.2102/12.17,20250120
600496,精工钢构,接近前低2.8516,20250120
