code,signal_date,entry_price,ret_1d,ret_3d,ret_5d,ret_10d,name,desc
600257,20260514,5.95,-0.01680672268907572,-0.023529411764705976,-0.07058823529411763,-0.08739495798319336,大湖股份,接近前低5.97 [量趋势回升✓]
002367,20260514,5.96,-0.00671140939597316,0.011744966442953067,-0.008389261744966413,-0.06375838926174494,康力电梯,接近前低5.97 [量趋势回升✓]
600420,20260514,9.4,-0.014893617021276655,-0.021276595744680965,-0.03085106382978733,-0.03723404255319145,国药现代,接近前低9.39/9.45 [量趋势回升✓]
600511,20260514,28.09,-0.008543965824136648,-0.016731933072267672,-0.0355998576005696,-0.050551797792808766,国药股份,接近前低27.92/27.99 [量能未见底⚠]
002589,20260514,3.05,-0.006557377049180334,0.0,-0.0426229508196721,-0.0622950819672131,瑞康医药,接近前低3.05 [量能未见底⚠]
000157,20260514,7.6,-0.009210526315789395,-0.044736842105263144,-0.04342105263157896,-0.05131578947368417,中联重科,接近前低7.67/7.57 [量趋势回升✓]
600779,20260514,32.58,-0.029465930018416124,-0.047268262737875974,-0.0334561080417434,0.06783302639656234,水井坊,接近前低31.81 [量趋势回升✓]
000799,20260514,43.54,-0.04386770785484604,-0.03743683968764361,-0.040652273771244744,-0.04501607717041803,酒鬼酒,接近前低42.19/41.88 [量趋势回升✓]
002422,20260514,31.39,-0.0003185727938834521,0.030264415418923316,0.03185727938834024,0.11564192417967513,科伦药业,接近前低31.43/31.35/31.45/31.13 [量能未见底⚠]
603027,20260514,8.44,-0.007109004739336342,-0.030805687203791447,-0.055687203791469166,-0.10426540284360189,千禾味业,接近前低8.43/8.48 [量能未见底⚠]
600763,20260514,39.65,0.003530895334174037,-0.03883984867591423,-0.07389659520807061,-0.08146279949558631,通策医疗,接近前低39.68/39.73/40.02 [量趋势回升✓]
603129,20260514,252.35,0.0235387358827027,-0.03776500891618784,-0.052149791955617184,-0.0802456905092134,春风动力,接近前低249.23 [量趋势回升✓]
000538,20260514,51.5,-0.011650485436893232,-0.012038834951456261,-0.026601941747572765,-0.0520388349514563,云南白药,接近前低50.98 [量能未见底⚠]
600529,20260514,17.86,-0.020156774916013406,-0.02295632698768198,-0.010078387458006703,0.013997760358342666,山东药玻,接近前低17.84 [量趋势回升✓]
603787,20260514,11.62,-0.0068846815834767705,0.009466437177280655,-0.052495697074010285,-0.1032702237521514,新日股份,接近前低11.5 [量能未见底⚠]
601398,20260514,7.3,-0.008219178082191728,-0.005479452054794526,-0.020547945205479378,-0.035616438356164355,工商银行,接近前低7.15/7.14 [量趋势回升✓]
002714,20260514,42.21,-0.0030798389007344836,-0.055200189528547695,-0.07438995498696993,-0.1222459132906895,牧原股份,接近前低41.7 [量趋势回升✓]
002012,20260514,6.99,0.01001430615164512,0.044349070100143,0.07153075822603719,0.24320457796852635,凯恩股份,接近前低6.93 [量趋势回升✓]
000895,20260514,26.81,-0.008578888474449849,-0.01976874300634083,-0.03468854904886236,-0.07795598657217456,双汇发展,接近前低26.46 [量能未见底⚠]
600585,20260514,21.0,-0.024761904761904742,-0.04809523809523817,-0.06142857142857139,-0.06333333333333326,海螺水泥,接近前低20.9 [量能未见底⚠]
600660,20260514,56.71,-0.01251983777111622,-0.02874272615059077,-0.041791571151472355,-0.08323047081643448,福耀玻璃,接近前低57.01 [量趋势回升✓]
600305,20260514,7.35,-0.008163265306122396,-0.009523809523809441,-0.019047619047619004,-0.013605442176870701,恒顺醋业,接近前低7.39 [量趋势回升✓]
000401,20260514,4.07,-0.014742014742014864,-0.014742014742014864,-0.05159705159705169,-0.0540540540540541,冀东水泥,接近前低4.03 [量能未见底⚠]
000876,20260514,8.55,-0.02105263157894754,-0.024561403508772027,-0.04678362573099419,-0.08771929824561413,新 希 望,接近前低8.45 [量能未见底⚠]
603288,20260514,37.35,-0.014457831325301181,-0.03105756358768417,-0.05381526104417665,-0.0551539491298528,海天味业,接近前低37.36/37.34/37.01 [量能未见底⚠]
002456,20260514,8.88,-0.014639639639639726,0.003378378378378306,-0.02702702702702705,0.08333333333333315,欧菲光,接近前低8.83 [量趋势回升✓]
