code,signal_date,entry_price,ret_1d,ret_3d,ret_5d,ret_10d,name,desc
603259,20260528,99.22,,,,,药明康德,接近均线60 [量趋势回升✓]
002737,20260528,12.8,,,,,葵花药业,接近均线60 [量能未见底⚠]
002812,20260528,71.81,,,,,恩捷股份,接近均线60 [量趋势回升✓]
603039,20260528,37.09,,,,,泛微网络,接近均线60 [量能未见底⚠]
000333,20260528,78.95,,,,,美的集团,接近均线140 [量能未见底⚠]
002563,20260528,5.41,,,,,森马服饰,接近均线60/140 [量能未见底⚠]
002415,20260528,30.76,,,,,海康威视,接近均线140 [量趋势回升✓]
002271,20260528,13.42,,,,,东方雨虹,接近均线250 [今日放量✓]
002695,20260528,11.74,,,,,煌上煌,接近均线140/250 [量趋势回升✓]
000651,20260528,37.88,,,,,格力电器,接近均线60 [量能未见底⚠]
002884,20260528,16.37,,,,,凌霄泵业,接近均线250 [量能未见底⚠]
000810,20260528,11.83,,,,,创维数字,接近均线60 [量能未见底⚠]
