code,name,profits_2017,profits_2018,profits_2019,profits_2020,profits_2021
688398,赛特新材,5.2493,41.8775,74.3257,93.3516,113.5709
603613,国联股份,58.746,93.8614,158.9421,304.4827,578.4133
300638,广和通,43.8574,86.7969,170.0747,283.6233,401.3454
300639,凯普生物,93.21,114.0795,147.2909,362.6624,852.1601
688300,联瑞新材,42.2489,58.3665,74.695,110.9162,172.8677
603127,昭衍新药,76.4464,108.3383,178.3727,315.0139,557.4596
603903,中持股份,62.1919,92.6378,111.10600000000001,137.6308,164.1943
300699,光威复材,237.1985,376.5805,521.7894,641.7130000000001,758.3827
300601,康泰生物,214.7035,435.6851,574.5056,679.1862,1263.3771
002972,科安达,78.197,95.1453,123.8998,137.393,151.4112
301127,天源环保,10.4333,36.8363,90.5993,145.2414,160.1933
300653,正海生物,61.6696,85.8151,107.3864,118.334,168.5526
301060,兰卫医学,6.4185,73.3859,92.2418,110.1213,203.8403
603801,志邦家居,234.2228,272.8982,329.4327,395.4441,505.5211
002901,大博医疗,295.5563,371.4531,465.4909,605.6841,673.3094
603605,珀莱雅,200.7858,287.1887,392.68199999999996,476.0093,576.119
688580,伟思医疗,40.3383,63.3645,99.7183,143.6593,177.8119
603565,中谷物流,406.4344,551.1071,857.5862,1018.7829,2404.2917
688269,凯立新材,32.6919,43.8323,65.3307,105.3235,162.5555
300980,祥源新材,25.0195,34.8549,55.4433,74.9329,87.7363
300853,申昊科技,65.4858,93.0634,113.0601,162.1196,180.0687
300725,药石科技,67.1792,133.3634,152.0688,184.2077,486.5594
300692,中环环保,50.6888,60.4447,97.1121,157.7377,201.8959
688131,皓元医药,15.0069,18.4142,73.4296,128.6574,190.9796
301077,星华新材,20.8189,36.935,65.3167,98.2331,134.9888
300726,宏达电子,199.8385,222.9916,292.9902,483.7833,816.0676
301302,华如科技,47.8149,56.4633,70.8396,91.75200000000001,118.0713
688793,倍轻松,20.9237,45.1848,54.5756,70.7074,91.8619
001205,盛航股份,36.573,44.5108,60.3535,111.8184,129.9626
688257,新锐股份,36.8201,67.5823,76.3192,113.8616,136.244
002913,奥士康,173.1515,238.8854,267.512,349.2467,490.1605
603181,皇马科技,147.7596,197.0267,256.1601,320.2605,448.4013
603506,南都物业,74.8324,91.8118,113.9308,137.8722,162.7709
688026,洁特生物,40.6328,52.8349,66.1532,119.3715,171.158
688799,华纳药厂,59.7586,88.4894,116.01100000000001,145.03,160.7607
688601,力芯微,22.1023,25.3818,40.7964,66.9508,159.2443
002864,盘龙药业,43.718999999999994,64.6819,71.7789,79.115,93.1699
300909,汇创达,34.2126,60.8653,79.5544,94.6289,149.0262
300925,法本信息,31.8509,65.1659,95.9544,121.5402,135.2532
601330,绿色动力,206.4774,272.7733,416.0885,503.3855,697.7859
603279,景津装备,205.9567,244.4757,413.077,514.6826,647.0061
300774,倍杰特,79.9767,102.8378,119.3515,149.4003,174.4218
603466,风语筑,166.1568,210.9564,262.2057,342.5254,438.8375
301237,和顺科技,16.5473,22.0917,35.8584,74.1744,123.6954
688367,工大高科,14.2659,27.2379,35.4908,48.5348,57.2553
002930,宏川智慧,92.6407,102.7101,145.8048,227.7323,272.2316
603707,健友股份,314.2224,424.5491,604.9616,806.1222,1059.2933
605136,丽人丽妆,227.2167,252.2968,285.9936,339.4805,410.7368
300848,美瑞新材,44.4104,55.3737,83.3638,102.0317,119.1467
301188,力诺特玻,48.6776,66.1499,82.213,90.686,124.7807
301117,佳缘科技,10.9257,21.9115,31.6738,52.6534,92.5009
301166,优宁维,26.1167,39.8656,57.9403,77.2308,108.7282
300724,捷佳伟创,254.0393,306.1917,381.9134,523.0274,717.3999
301139,元道通信,31.3332,35.766,62.268,87.6687,106.6962
688677,海泰新光,49.1733,54.5545,71.9308,93.098,117.7305
688596,正帆科技,30.5163,60.0335,83.0228,124.2581,168.4028
688550,瑞联新材,78.0087,94.6421,148.4645,175.4095,239.7773
688516,奥特维,27.6014,50.5151,73.4299,155.3575,370.7246
300773,拉卡拉,469.6434,599.4916,806.3424,930.7913,1082.5841
603129,春风动力,97.4051,120.2501,181.0566,364.899,411.5224
300785,值得买,86.2414,95.7192,119.0293,156.7865,179.5256
300866,安克创新,356.3848,427.0561,721.0804,855.9328,981.7272
603666,亿嘉和,138.9932,184.0322,256.1746,336.4399,483.0811
002968,新大正,70.6569,88.0779,104.4596,131.2069,166.0698
300896,爱美客,82.1935,125.119,305.5198,439.7488,957.7985
688625,呈和科技,38.4857,55.6429,89.2769,116.5284,157.02700000000002
603713,密尔克卫,83.6916,132.1563,196.0587,288.4989,431.7929
603267,鸿远电子,122.0128,218.3627,278.6688,486.0687,826.737
688066,航天宏图,45.3791,61.6787,83.5192,128.8436,199.9534
301031,中熔电气,16.0903,31.9681,37.6908,55.3853,80.4767
603297,永新光学,106.7024,121.8426,139.0494,161.6838,261.4712
603915,国茂股份,133.6785,218.0515,283.7591,359.1271,462.0353
300760,迈瑞医疗,2589.1548,3719.2362,4680.6468,6657.6761,8001.5536
603662,柯力传感,108.5994,140.817,183.0889,220.0538,251.24400000000003
605266,健之佳,94.8807,133.6257,168.2482,251.1482,300.5274
300770,新媒股份,109.8129,205.199,395.6828,574.9339,679.7364
300759,康龙化成,230.8571,339.2245,547.1915,1172.3824,1661.0286
688237,超卓航科,2.7421,6.8393,10.7128,64.2064,70.7311
688111,金山办公,214.3373,310.6666,400.5792,878.1413,1041.2539
300762,上海瀚讯,67.4308,102.5944,115.1318,167.255,235.0391
688083,中望软件,32.4381,44.4868,89.0734,125.5443,181.6502
300751,迈为股份,130.8953,170.9276,247.5429,394.4336,642.8022
688202,美迪西,40.1768,58.9751,66.5731,129.3863,282.2229
605376,博迁新材,48.298,103.8539,134.3054,158.9966,237.8364
688622,禾信仪器,20.5024,24.5691,46.4743,69.454,78.5747
301002,崧盛股份,20.5601,50.063,83.8895,99.4905,129.1067
603489,八方股份,102.7397,232.354,323.8482,402.2948,606.6173
603529,爱玛科技,262.7714,428.2901,521.5284,598.5246,663.9981
688301,奕瑞科技,70.7974,78.2598,96.4008,222.2472,484.0395
605580,恒盛能源,45.8193,62.9011,92.4261,109.2135,124.5611
002985,北摩高科,103.5164,150.0178,212.2969,316.4985,422.3088
603290,斯达半导,52.5831,96.7428,135.2785,180.6826,398.38300000000004
600935,华塑股份,187.4401,413.4181,500.8,613.4948,785.4362
300841,康华生物,74.4579,166.4875,186.6867,408.0463,829.4778
688606,奥泰生物,34.1699,56.7184,78.4194,679.6856,765.6889
688330,宏力达,32.1953,97.4738,238.5876,318.1986,412.8874
688568,中科星图,39.0388,86.9011,102.8895,147.4544,220.3057
605337,李子园,90.1785,124.4263,181.6525,214.5666,262.494
605336,帅丰电器,134.2036,150.18,173.9666,194.2598,246.6058
300911,亿田智能,49.9695,76.2221,98.336,143.7624,209.5536
688312,燕麦科技,30.7863,66.164,91.2359,102.2816,122.3905
688298,东方生物,33.3566,65.3696,82.1052,1677.3587,4920.1881
688128,中国电研,111.9007,206.9101,252.1725,282.7082,315.0613
605028,世茂能源,54.7803,61.2505,85.445,121.2061,175.4264
688016,心脉医疗,63.3862,90.6479,141.7559,214.6129,315.8557
